ra,dec,z,distance_mpc,x,y,z_cart,N_HI,z_refrac,z_doppler,z_local,v_local,z_total,final_delta
188.60424380872274,60.32439353273877,10.614585289472238,3254.422999705671,-1593.094508510946,-241.0535903513581,2827.580611502393,1.1482691183573857e+20,0.7708561725036226,5.5152393612831,-0.0018106369495468784,-542.8153016502806,10.53894757893546,0.07563771053677826
190.90894055897294,64.12169496420354,10.567349386065205,3239.9405111046144,-1388.5540577402048,-267.6180798605256,2915.0493490782974,1.5209019525693696e+20,0.7727565999581038,5.518713391390095,0.0016633931574482536,498.6727232917929,10.554806789781322,0.012542596283882546
190.0340591005789,63.571826118757244,10.582614464853522,3244.6207715336573,-1422.0129797517097,-251.61093460245942,2905.535230224167,1.1149238795914186e+20,0.7706861117859163,5.517521955565963,0.00047195733331622386,141.48924902599603,10.540121879018294,0.042492585835228525
189.50071727012144,61.09141199826866,10.590036184329369,3246.8962645369984,-1548.0645346978172,-259.0770808020784,2842.3072696804293,1.3439587433990128e+20,0.771854189591335,5.514537769065898,-0.002512229166749238,-753.147356959046,10.544750113977967,0.045286070351401975
187.73015789510305,60.96935542438396,10.599006998421704,3249.646708658177,-1562.6491664459247,-212.1160596430879,2841.362013355614,1.555327303079836e+20,0.7729321692457072,5.5160849968850005,-0.0009650013476465381,-289.30012598426816,10.553322589101692,0.045684409320012165
187.7300614146781,60.975673594969294,10.631917596139301,3259.73707047876,-1567.1901993026022,-212.72977781661282,2850.359045715717,1.5615155244447823e+20,0.7729637291746684,5.519804297904017,0.0027542996713699037,825.7182685485756,10.55724756775569,0.07467002838361125
187.33841778200608,61.45902452739371,10.573367378215837,3241.7856224804195,-1536.1965773393642,-197.83835929026066,2847.8297142710135,1.8366492701815977e+20,0.7743669112779262,5.513002732901854,-0.004047265330792735,-1213.339621696537,10.559590610677084,0.013776767538752566
190.57078791643303,62.34108128208451,10.604823443841362,3251.430025974308,-1483.721946092559,-276.8881241693922,2879.8783597896204,1.1084481112542953e+20,0.770653085367397,5.516334648967829,-0.0007153492648173579,-214.45631442808863,10.538719337599408,0.06610410624195318
189.51054338030613,61.969835630124024,10.612641456886205,3253.827022255489,-1508.0745276421637,-252.65041712217928,2872.1541178294865,1.0474117411141003e+20,0.7703417998796819,5.519161352646215,0.0021113544135682263,632.968129352767,10.539517378190629,0.07312407869557624
189.93837364451747,61.406972116347724,10.558045041272,3237.0878067486346,-1525.9740304189888,-267.37837188672233,2842.2965245263763,1.2662410279823403e+20,0.7714578292427099,5.515604430842381,-0.001445567390266205,-433.37020113255085,10.543233675545144,0.014811365726856707
