ra,dec,z,distance_mpc,x,y,z_cart,N_HI,z_refrac,z_doppler,z_local,v_local,z_total,final_delta
15.21691047538945,-51.17099535615012,0.881185289472238,270.17067505266016,163.457340727492,44.46218529609377,-210.468538027427,2.6740643602036962e+20,0.08248772823703884,0.7280668564437881,-0.004783702820702853,-1434.1180269600413,0.8710057624517983,0.010179527020439672
17.521607225639663,-47.373693924685355,0.8339493860652042,255.68818645160343,165.12176768142683,52.131162269634714,-188.13184857723544,1.7738549228919698e+20,0.07789666010674905,0.7372452439864692,0.004394684721978286,1317.4933349369169,0.872228515017285,-0.038279128952080854
16.64672576724562,-47.923562770131646,0.8492144648535218,260.36844688064656,167.16595501106508,49.98281419506485,-193.25886758806246,2.3457936178162074e+20,0.08081354745086265,0.7340974705391125,0.0012469112746214632,373.8145959266815,0.8741352714354872,-0.024920806581965382
16.113383936788146,-50.40397689062023,0.8566361843293692,262.6439398839876,160.82502417356397,46.46045823771134,-202.38225361354722,1.3908417883520516e+20,0.07594329312059547,0.7262132498059395,-0.006637309458551488,-1989.8153170857995,0.8578116277623504,-0.0011754434329812602
14.342824561769746,-50.52603346450493,0.8656069984217036,265.39438400516616,163.4597084795976,41.79549465300549,-204.86151271519293,4.0320905217550995e+20,0.08941366166095101,0.7303010257040088,-0.002549533560482154,-764.3309328504365,0.8852415393190738,-0.019634540897370156
14.342728081344811,-50.519715293919596,0.8985175961393014,275.484745825749,169.69727877370562,43.390092950989484,-212.6310856699491,4.0437810837928824e+20,0.08947328352734371,0.7401274189962502,0.007276859731759285,2181.5476655053367,0.8951712483958382,0.003346347743463207
13.951084448672798,-50.03636436149518,0.839967378215836,257.53329782740906,160.5345730311917,39.880221142920476,-197.38697604742242,4.950239134442897e+20,0.09409621958565877,0.7221576842605365,-0.010692875003954407,-3205.643280522251,0.8852123709942196,-0.045244992778383564
17.183454583099742,-49.15430760680438,0.8714234438413612,267.17770132129726,166.94087843427212,51.624011788373316,-202.11291051736353,1.5383905041071027e+20,0.07669579157094622,0.7309606065068435,-0.0018899527576474596,-566.5935827190102,0.8638629518237906,0.007560492017570586
16.123210046972837,-49.525553258764866,0.8792414568862043,269.57469760247756,168.10065737825317,48.593539540445775,-205.0642691728559,1.290255689850691e+20,0.07543030401823853,0.7384287576251382,0.005578198360647254,1672.3017977500106,0.8691382021286332,0.010103254757571012
16.55104031118418,-50.088416772541166,0.8246450412719998,252.83548209562363,155.49905165275032,46.2116335070518,-193.93377960074835,1.2637528875390088e+20,0.07529513972644895,0.7290313702194077,-0.003819189045083314,-1144.9640713921995,0.8595065952042827,-0.03486155393228296
